method,university,program_name,degree_level,role_groups,gap_concept
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/89f6560b-2194-45c9-9ece-d33049a73eef
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/5b26f08b-88bc-45f0-b901-530d7786466b
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/bee296bc-48f7-4df6-bd2c-8616c8a6c8de
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/541cdc23-1eec-4520-81fc-3392eaf538ed
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/6a536b36-c5c7-4d10-bf67-a4fb0f8549b2
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/327d15c8-29ff-4ad4-a4fe-6536d777a45f
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/2522a6ce-3202-4ac8-9f5b-b9cb5a3a83a1
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/8b94aa1e-89c9-459d-b3b4-1dfab8dec2df
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/1b2ec9bb-ba7c-4f93-87ac-ec712c9b68c3
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/123cf7c5-6a3b-419d-be4f-49a6cc020f9f
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/f715be1d-5fc4-49d3-82a5-0b8090d12849
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/5be3d306-6cf1-4b49-aa1d-01651dd4ba4c
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/e5d1f825-60ed-4bdd-872a-e748c387f777
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/7961413f-61d0-4722-9cd9-20a050a29899
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/85f73cdf-fb6f-434d-8fff-fcd723834a90
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/12d1d724-b832-4193-823f-c6ff0deedec1
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/401eb8d8-6daa-4f8b-90ad-60afc71eb4f8
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/4da171e5-779c-4983-a76f-91c16751e99f
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/73b4cc3b-3827-4c54-ac54-d912e5cdae21
