source_url,degree_type,speciality,program_name,academic_year,component,chair_code,course_name_original,credits
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Մաթեմատիկական անալիզ - 4,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0309,Կոմպյուտերային ցանցերի ներածություն,3
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Ալգորիթմների տեսություն,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Հանրահաշիվ - 1,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Մաթեմատիկական անալիզ - 3,9
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0309,Web ծրագրավորում,3
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0309,Ծրագրավորում - 2,9
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Դիսկրետ մաթեմատիկա - 2,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Մաթեմատիկական անալիզ - 2,9
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Հանրահաշիվ և վերլուծական երկրաչափություն,3
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0309,Ծրագրավորում-1,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Դիսկրետ մաթեմատիկա - 1,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0309,Թարգմանության տեսություն,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0309,GUI ծրագրավորում,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Կոմբինատոր ալգորիթմներ,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Գրաֆային ալգորիթմներ,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Ֆունկցիոնալ անալիզ,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Դիֆերենցիալ հավասարումների որակական տեսություն,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0309,Տվյալների հենքեր,6
